Date,Open,High,Low,Close,Adj Close,Volume,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
2017-05-04,3326.0,3364.0,3326.0,3357.0,3303.55835,946561.0,8.0,0.3,87.0,16.9,12.1,9.2,0.0,102250.0,0.0
2017-05-05,3349.0,3390.0,3337.0,3390.0,3336.033203,1628261.0,5.0,8.6,236.0,15.5,12.4,8.0,0.0,102070.0,0.0
2017-05-08,3392.0,3407.120117,3381.0,3391.0,3337.01709,719719.0,7.0,0.0,74.0,14.9,9.8,7.5,0.0,102680.0,0.0
2017-05-09,3385.0,3422.0,3367.0,3386.0,3332.09668,1554781.0,5.0,5.6,197.0,19.2,10.7,6.5,0.0,102230.0,0.0
2017-05-10,3381.0,3441.0,3375.0,3412.0,3357.682617,1384893.0,1.0,13.1,299.0,22.5,12.1,5.0,0.0,100820.0,0.0
2017-05-11,3413.0,3437.0,3381.0,3431.0,3376.380371,684199.0,5.0,2.4,142.0,20.0,14.8,7.2,2.0,99650.0,0.0
2017-05-12,3427.0,3459.0,3426.0,3454.0,3399.014404,1207300.0,6.0,4.0,173.0,19.6,16.2,12.4,0.6,99710.0,0.0
2017-05-15,3451.0,3489.0,3451.0,3477.0,3421.647949,931584.0,8.0,0.0,77.0,25.0,15.2,9.6,0.0,102440.0,0.0
2017-05-16,3474.0,3493.0,3470.0,3478.0,3422.632324,706454.0,7.0,4.4,182.0,17.7,19.2,13.5,14.8,102350.0,0.0
2017-05-17,3468.0,3477.0,3427.0,3427.0,3372.444336,789193.0,8.0,0.0,78.0,16.5,16.4,15.0,18.6,101670.0,0.0
2017-05-18,3426.0,3454.0,3404.0,3432.0,3377.364502,1237916.0,7.0,3.9,175.0,16.2,13.1,9.6,9.8,101260.0,0.0
2017-05-19,3452.0,3471.0,3441.0,3460.0,3404.918701,644001.0,7.0,2.2,143.0,16.7,12.9,9.7,0.4,101210.0,0.0
2017-05-22,3479.0,3479.0,3439.0,3439.0,3384.253174,472512.0,3.0,9.7,266.0,21.3,18.0,11.1,0.0,101640.0,0.0
2017-05-23,3445.0,3452.0,3410.0,3410.0,3355.714844,724707.0,4.0,4.1,181.0,26.3,16.0,10.7,0.0,102110.0,0.0
2017-05-24,3420.0,3429.47998,3407.899902,3423.0,3368.507813,895236.0,1.0,11.1,286.0,27.0,19.4,12.6,0.0,102530.0,0.0
2017-05-25,3440.0,3445.0,3394.899902,3400.0,3345.874023,837756.0,1.0,12.8,309.0,27.8,20.5,14.0,0.0,102350.0,0.0
2017-05-26,3406.0,3409.0,3369.0,3391.0,3337.01709,889972.0,0.0,14.3,309.0,24.0,20.7,13.6,0.0,101760.0,0.0
2017-05-30,3397.0,3442.0,3375.0,3442.0,3387.205322,712466.0,7.0,3.0,163.0,23.0,17.5,14.2,0.0,101560.0,0.0
2017-05-31,3459.0,3471.0,3417.0,3425.0,3370.47583,643120.0,4.0,2.8,160.0,25.5,17.9,12.7,0.0,102220.0,0.0
2017-06-01,3435.0,3468.0,3431.0,3442.0,3387.205322,1385054.0,1.0,11.1,290.0,24.8,18.9,12.3,0.0,102070.0,0.0
2017-06-02,3469.0,3486.0,3460.0,3483.0,3427.55249,451070.0,5.0,4.2,188.0,21.5,19.4,13.9,6.8,101590.0,0.0
2017-06-05,3484.0,3501.0,3444.969971,3499.0,3443.298096,512197.0,7.0,2.6,158.0,17.7,15.1,11.4,18.8,100700.0,0.0
2017-06-06,3487.0,3494.0,3439.0,3439.0,3384.253174,574858.0,6.0,3.0,167.0,20.9,13.8,9.9,2.6,99580.0,0.0
2017-06-07,3429.0,3489.0,3423.0,3463.0,3407.87085,545177.0,5.0,7.9,248.0,18.0,15.6,10.3,0.8,101110.0,0.0
2017-06-08,3471.0,3477.0,3441.0,3443.0,3388.189209,581364.0,8.0,0.0,80.0,21.2,15.6,13.1,1.0,101000.0,0.0
2017-06-09,3437.0,3471.0,3437.0,3454.0,3399.014404,752525.0,5.0,6.6,229.0,23.8,16.6,12.0,0.0,101130.0,0.0
2017-06-12,3438.0,3460.0,3398.0,3399.0,3344.889893,666217.0,5.0,3.2,172.0,24.8,16.6,12.3,0.0,101750.0,0.0
2017-06-13,3403.0,3597.0,3403.0,3582.0,3524.976807,1576485.0,3.0,9.9,278.0,27.1,17.5,10.2,0.0,101960.0,0.0
2017-06-14,3593.0,3667.189941,3520.219971,3632.0,3574.18042,2539000.0,1.0,13.2,278.0,25.1,20.4,13.6,0.0,101670.0,0.0
2017-06-15,3623.0,3667.0,3611.0,3655.0,3596.814453,1162922.0,2.0,12.4,278.0,24.3,20.0,14.9,0.0,101490.0,0.0
2017-06-16,3683.0,3711.0,3661.0,3711.0,3651.923096,2080143.0,2.0,9.9,278.0,30.1,17.9,11.4,0.0,102390.0,0.0
2017-06-19,3726.0,3761.0,3729.0,3752.0,3692.270264,505716.0,1.0,10.0,280.0,31.4,25.5,19.0,0.0,101890.0,0.0
2017-06-20,3764.0,3779.0,3757.77002,3759.0,3699.158691,203053.0,1.0,11.1,295.0,34.5,25.4,19.3,0.0,101760.0,0.0
2017-06-21,3755.0,3767.0,3737.0,3760.0,3700.143066,97709.0,1.0,12.5,295.0,24.1,25.5,16.5,0.0,101430.0,0.0
2017-06-22,3776.0,3766.0,3747.26001,3753.0,3693.25415,246995.0,5.0,1.6,138.0,24.9,21.1,18.2,0.0,101210.0,0.0
2017-06-23,3754.0,3760.0,3735.560059,3753.0,3693.25415,150554.0,5.0,7.1,238.0,24.1,19.0,13.1,0.0,101600.0,0.0
2017-06-26,3774.0,3785.0,3750.0,3760.620117,3700.753174,32160.0,5.0,10.1,281.0,21.2,18.6,12.7,0.0,101380.0,0.0
2017-06-27,3759.0,3759.0,3700.0,3708.26001,3649.226563,588696.0,7.0,0.1,89.0,17.3,17.9,14.6,16.2,100670.0,0.0
2017-06-28,3726.0,3752.0,3719.26001,3730.0,3670.620605,18339.0,8.0,0.0,81.0,18.7,15.9,14.6,0.0,99790.0,0.0
2017-06-29,3742.0,3766.649902,3613.0,3625.0,3567.291992,222738.0,8.0,0.5,106.0,22.0,15.4,12.1,0.0,99650.0,0.0
2017-06-30,3608.0,3648.0,3576.0,3646.0,3587.957764,386879.0,7.0,7.0,236.0,23.3,18.0,14.0,0.2,100450.0,0.0
2017-07-03,3630.0,3658.0,3621.0,3625.0,3567.291992,957386.0,5.0,4.8,200.0,24.6,19.9,14.7,0.0,102050.0,0.0
2017-07-04,3621.0,3628.0,3605.0,3605.0,3547.610352,557590.0,3.0,9.1,265.0,29.5,19.0,13.4,0.0,101990.0,0.0
2017-07-05,3610.0,3725.0,3591.0,3692.0,3633.225586,774007.0,0.0,13.9,38.0,32.2,22.0,14.5,0.0,101820.0,0.0
2017-07-06,3696.0,3724.0,3667.0,3721.0,3661.763672,811569.0,5.0,10.3,281.0,30.1,25.4,18.5,0.0,101410.0,0.0
2017-07-07,3730.0,3745.0,3704.0,3733.0,3673.572754,503066.0,4.0,12.0,303.0,26.7,23.6,17.0,0.0,101590.0,0.0
2017-07-10,3744.0,3759.0,3730.0,3731.0,3671.604736,425254.0,3.0,10.4,280.0,19.6,21.1,15.9,0.0,100850.0,0.0
2017-07-11,3731.0,3737.0,3685.0,3686.0,3627.321045,608622.0,8.0,0.0,79.0,22.4,17.1,14.7,36.8,100920.0,0.0
2017-07-12,3692.0,3731.0,3690.0,3716.0,3656.843262,544232.0,6.0,5.3,205.0,23.2,18.3,14.2,0.0,101500.0,0.0
2017-07-13,3726.0,3727.0,3694.0,3702.0,3643.066406,704235.0,7.0,6.8,228.0,21.8,18.3,13.4,0.0,102160.0,0.0
2017-07-14,3709.0,3709.0,3676.0,3682.0,3623.384766,973603.0,6.0,4.3,187.0,22.5,18.1,14.4,0.0,101990.0,0.0
2017-07-17,3673.0,3701.0,3663.0,3694.0,3635.193604,327273.0,5.0,11.2,287.0,26.9,21.1,15.2,0.0,102300.0,0.0
2017-07-18,3693.0,3701.0,3666.0,3680.0,3621.416504,424740.0,6.0,7.3,233.0,22.7,21.9,16.9,4.4,101620.0,0.0
2017-07-19,3682.0,3718.0,3656.0,3714.0,3654.875244,383643.0,7.0,1.6,132.0,21.6,20.4,18.1,0.4,100610.0,0.0
2017-07-20,3724.0,3773.0,3713.0,3771.0,3710.968018,640638.0,6.0,3.0,161.0,22.8,19.5,17.4,0.0,100790.0,0.0
2017-07-21,3761.0,3809.0,3761.0,3786.0,3725.729004,907498.0,4.0,6.5,219.0,19.2,17.6,12.3,13.8,100840.0,0.0
2017-07-24,3772.0,3788.0,3727.0,3736.0,3676.524902,1046561.0,7.0,0.2,88.0,22.9,16.8,14.1,0.0,101410.0,0.0
2017-07-25,3753.0,3803.0,3725.0,3752.0,3692.270264,430124.0,4.0,8.8,249.0,22.1,17.9,13.0,0.2,101570.0,0.0
2017-07-26,3750.0,3795.0,3749.0,3793.0,3732.617432,458328.0,6.0,0.6,102.0,22.2,18.3,14.5,1.6,100780.0,0.0
2017-07-27,3780.0,3835.0,3774.0,3825.0,3764.10791,782561.0,7.0,3.2,161.0,22.2,18.1,14.0,7.0,100670.0,0.0
2017-07-28,3800.0,3801.0,3745.0,3761.0,3701.126953,533189.0,7.0,1.2,118.0,20.4,17.9,13.7,1.2,100830.0,0.0
2017-07-31,3725.0,3781.0,3711.0,3748.0,3688.333984,779216.0,2.0,9.1,248.0,22.4,17.9,13.1,0.0,101140.0,0.0
2017-08-01,3759.0,3793.0,3747.0,3787.0,3726.712891,659680.0,5.0,6.3,208.0,19.3,17.4,12.5,0.8,101460.0,0.0
2017-08-02,3784.0,3806.0,3739.0,3769.0,3708.999756,590043.0,8.0,0.0,72.0,21.8,16.9,14.5,7.2,101190.0,0.0
2017-08-03,3753.0,3897.0,3753.0,3880.0,3818.232666,1067170.0,7.0,3.3,158.0,22.9,18.6,15.5,0.0,100710.0,0.0
2017-08-04,3903.0,3932.0,3853.0,3892.0,3830.041748,624905.0,6.0,6.7,212.0,20.8,18.9,14.8,0.0,101130.0,0.0
2017-08-07,3889.0,3907.0,3871.0,3879.0,3817.248535,314888.0,7.0,0.7,99.0,17.0,17.1,13.1,0.2,101730.0,0.0
2017-08-08,3915.0,3915.0,3857.0,3859.0,3797.56665,410961.0,8.0,0.3,86.0,16.1,16.0,15.0,3.4,101150.0,0.0
2017-08-09,3833.0,3869.25,3816.0,3856.0,3794.614502,439861.0,8.0,0.0,69.0,21.0,14.6,13.0,19.6,101590.0,0.0
2017-08-10,3863.0,3863.0,3804.0,3819.0,3758.203613,486343.0,5.0,7.7,219.0,22.6,16.6,12.2,0.0,102320.0,0.0
2017-08-11,3812.0,3812.0,3760.0,3799.0,3738.521973,488424.0,3.0,8.5,229.0,22.5,16.2,9.9,0.0,101900.0,0.0
2017-08-14,3808.0,3859.0,3808.0,3848.0,3786.741943,1039141.0,4.0,6.6,200.0,24.2,17.1,10.7,0.0,101720.0,0.0
2017-08-15,3859.0,3877.0,3847.0,3858.0,3796.582764,373172.0,5.0,7.8,215.0,23.6,19.7,15.2,0.0,101540.0,0.0
2017-08-16,3881.0,3931.0,3881.0,3915.0,3852.675537,533721.0,5.0,4.7,170.0,24.8,17.6,11.5,3.8,101880.0,0.0
2017-08-17,3923.0,3966.0,3898.0,3950.0,3887.118164,561012.0,5.0,4.8,171.0,20.3,20.1,15.4,3.8,101130.0,0.0
2017-08-18,3929.0,3946.0,3889.0,3944.0,3881.213867,485914.0,5.0,7.2,204.0,20.8,17.6,15.0,7.0,101110.0,0.0
2017-08-21,3920.0,3954.0,3920.0,3948.0,3885.149902,555000.0,8.0,0.0,63.0,23.1,16.6,13.6,0.0,102130.0,0.0
2017-08-22,3960.0,3988.0,3945.800049,3983.0,3919.593018,343161.0,8.0,0.5,84.0,22.4,19.4,15.8,0.2,101860.0,0.0
2017-08-23,3980.0,3986.0,3961.0,3973.0,3909.751953,270343.0,5.0,1.4,106.0,21.5,19.1,15.9,0.0,101360.0,0.0
2017-08-24,3962.0,3999.0,3962.0,3972.0,3922.986816,451925.0,3.0,5.9,179.0,24.0,17.2,12.9,0.0,101700.0,0.0
2017-08-25,3976.0,4005.0,3972.0,3976.0,3926.937256,385101.0,2.0,11.6,246.0,24.7,18.2,12.5,0.0,101720.0,0.0
2017-08-29,3968.0,3970.0,3936.0,3950.0,3901.258057,434610.0,5.0,3.6,140.0,15.1,21.2,16.4,0.2,101340.0,0.0
2017-08-30,3956.0,4001.0,3940.0,3944.0,3895.332031,847864.0,8.0,0.2,69.0,20.3,14.4,13.8,3.6,101340.0,0.0
2017-08-31,3947.0,3958.0,3940.0,3950.0,3901.258057,1525588.0,2.0,8.9,207.0,21.9,14.6,8.8,1.6,101720.0,0.0
2017-09-01,4068.0,4069.0,3933.0,3949.0,3900.270508,600890.0,3.0,9.2,200.0,22.0,15.8,9.7,0.0,102150.0,0.0
2017-09-04,3917.0,3957.0,3915.0,3925.0,3876.56665,241813.0,8.0,0.9,83.0,21.3,17.9,13.2,0.2,101180.0,0.0
2017-09-05,3912.0,3939.0,3878.0,3886.0,3838.047852,401762.0,7.0,1.1,86.0,19.4,18.6,16.0,1.2,101380.0,0.0
2017-09-06,3884.0,3884.0,3851.0,3855.0,3807.430176,680736.0,5.0,5.0,144.0,19.9,15.3,11.3,0.0,101890.0,0.0
2017-09-07,3866.0,3873.0,3835.0,3846.0,3798.541504,530901.0,8.0,2.7,112.0,19.6,15.6,11.2,3.4,101400.0,0.0
2017-09-08,3830.0,3858.0,3830.0,3858.0,3810.393311,412802.0,6.0,2.3,104.0,18.6,17.1,14.5,3.6,100110.0,0.0
2017-09-11,3860.0,3900.0,3858.0,3894.0,3845.949219,538671.0,5.0,5.0,138.0,19.6,15.4,11.1,0.6,99430.0,0.0
2017-09-12,3914.0,3922.0,3881.0,3893.0,3844.96167,1802864.0,4.0,7.6,166.0,19.0,14.9,10.3,2.6,100400.0,0.0
2017-09-13,3906.0,3906.0,3853.0,3859.0,3811.381104,755297.0,4.0,8.1,169.0,18.1,15.6,12.1,0.0,99900.0,0.0
2017-09-14,3865.0,3874.0,3839.0,3857.0,3809.405762,718993.0,4.0,5.6,141.0,16.8,13.0,7.9,0.0,100810.0,0.0
2017-09-15,3852.0,3865.0,3787.0,3816.0,3768.911621,1026403.0,5.0,5.2,135.0,15.9,11.9,7.1,0.2,101310.0,0.0
2017-09-18,3838.0,3853.0,3822.0,3839.0,3791.62793,510228.0,6.0,3.3,108.0,16.3,13.2,9.1,3.6,101760.0,0.0
2017-09-19,3828.0,3834.0,3822.0,3827.0,3779.775879,759911.0,3.0,6.5,143.0,18.3,12.3,8.3,0.0,102140.0,0.0
2017-09-20,3829.0,3832.0,3801.0,3801.0,3754.096924,361898.0,6.0,1.0,72.0,18.0,13.8,9.2,0.0,101880.0,0.0
2017-09-21,3800.0,3814.0,3781.0,3781.0,3734.343506,498926.0,7.0,1.2,74.0,19.0,16.0,14.0,2.8,101570.0,0.0
2017-09-22,3768.0,3795.0,3756.0,3787.0,3740.269531,425667.0,2.0,8.7,160.0,19.5,12.6,6.2,0.0,102140.0,0.0
2017-09-25,3766.0,3783.0,3745.0,3745.0,3698.787598,455371.0,8.0,0.0,42.0,21.1,16.6,14.9,0.0,101960.0,0.0
2017-09-26,3753.0,3769.0,3738.379883,3745.0,3698.787598,483704.0,5.0,3.7,103.0,20.9,17.5,13.9,0.0,102210.0,0.0
2017-09-27,3751.0,3768.0,3746.0,3767.0,3720.516357,539100.0,7.0,1.1,67.0,20.5,16.4,12.0,15.2,101940.0,0.0
2017-09-28,3764.0,3779.110107,3740.939941,3779.0,3732.368164,376627.0,6.0,4.5,110.0,18.9,17.8,15.0,1.8,101810.0,0.0
2017-09-29,3787.0,3836.0,3779.0,3830.0,3782.73877,440859.0,7.0,0.6,57.0,17.6,16.4,13.8,0.4,101600.0,0.0
2017-10-02,3838.0,3890.97998,3818.0,3890.0,3841.998535,797873.0,7.0,3.8,97.0,17.3,15.9,13.8,0.0,101330.0,0.0
2017-10-03,3876.0,3880.949951,3837.149902,3875.0,3827.183594,766146.0,3.0,6.5,122.0,16.7,12.9,8.6,0.0,102270.0,0.0
2017-10-04,3876.0,3883.0,3863.0,3874.0,3826.196045,408544.0,7.0,1.1,61.0,17.4,12.8,8.9,0.6,102200.0,0.0
2017-10-05,3888.0,3919.0,3869.0,3917.0,3868.665527,450781.0,4.0,7.5,128.0,15.9,15.1,12.7,0.0,101760.0,0.0
